Soft17Hit: false	Surrender: false	DoubleAfterSplit: false	
Win: 1.000000	Tie: 0.000000	Lose: -1.000000	BlackJack: 1.500000	
A: 4	2: 4	3: 4	4: 4	5: 4	6: 4	7: 4	8: 4	9: 4	T: 16	
Dealer: 9	Player1st: 4 	Player2nd: 5	Stand: -0.541653	Hit: -0.0506328	Double: -0.168116	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.0506328	Time: 2.223
Dealer: 9	Player1st: 4 	Player2nd: 4	Stand: -0.542638	Hit: -0.204341	Double: -0.485637	Split: -0.488298	WhattoDo: Hit   	ExpectedValue: -0.204341	Time: 303.485
Dealer: 9	Player1st: 3 	Player2nd: T	Stand: -0.536257	Hit: -0.358832	Double: -0.752138	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.358832	Time: 0.236
Dealer: 9	Player1st: 3 	Player2nd: 9	Stand: -0.533417	Hit: -0.392171	Double: -0.840364	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.392171	Time: 0.438
Dealer: 9	Player1st: 3 	Player2nd: 8	Stand: -0.529562	Hit: 0.140061	Double: 0.215208	Split: undefined	WhattoDo: Double	ExpectedValue: 0.215208	Time: 0.782
Dealer: 9	Player1st: 3 	Player2nd: 7	Stand: -0.550044	Hit: 0.117569	Double: 0.153705	Split: undefined	WhattoDo: Double	ExpectedValue: 0.153705	Time: 0.841
Dealer: 9	Player1st: 3 	Player2nd: 6	Stand: -0.545956	Hit: -0.0510696	Double: -0.17904	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.0510696	Time: 2.211
Dealer: 9	Player1st: 3 	Player2nd: 5	Stand: -0.542147	Hit: -0.216991	Double: -0.515197	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.216991	Time: 3.369
Dealer: 9	Player1st: 3 	Player2nd: 4	Stand: -0.54201	Hit: -0.303648	Double: -0.711364	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.303648	Time: 5.965
Dealer: 9	Player1st: 3 	Player2nd: 3	Stand: -0.542453	Hit: -0.309366	Double: -0.769861	Split: -0.41572	WhattoDo: Hit   	ExpectedValue: -0.309366	Time: 410.784
Dealer: 9	Player1st: 2 	Player2nd: T	Stand: -0.527482	Hit: -0.344351	Double: -0.745531	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.344351	Time: 0.368
Dealer: 9	Player1st: 2 	Player2nd: 9	Stand: -0.523864	Hit: 0.142601	Double: 0.21384	Split: undefined	WhattoDo: Double	ExpectedValue: 0.21384	Time: 0.666
Dealer: 9	Player1st: 2 	Player2nd: 8	Stand: -0.52005	Hit: 0.120803	Double: 0.174428	Split: undefined	WhattoDo: Double	ExpectedValue: 0.174428	Time: 0.712
Dealer: 9	Player1st: 2 	Player2nd: 7	Stand: -0.540546	Hit: -0.0523836	Double: -0.191443	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.0523836	Time: 1.816
Dealer: 9	Player1st: 2 	Player2nd: 6	Stand: -0.536503	Hit: -0.208317	Double: -0.502372	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.208317	Time: 2.884
Dealer: 9	Player1st: 2 	Player2nd: 5	Stand: -0.531595	Hit: -0.283812	Double: -0.657556	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.283812	Time: 4.908
Dealer: 9	Player1st: 2 	Player2nd: 4	Stand: -0.532529	Hit: -0.303726	Double: -0.748744	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.303726	Time: 8.703
Dealer: 9	Player1st: 2 	Player2nd: 3	Stand: -0.532954	Hit: -0.262096	Double: -0.722841	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.262096	Time: 13.664
Dealer: 9	Player1st: 2 	Player2nd: 2	Stand: -0.523455	Hit: -0.221986	Double: -0.672209	Split: -0.381103	WhattoDo: Hit   	ExpectedValue: -0.221986	Time: 439.679
Dealer: 9	Player1st: A 	Player2nd: T	Stand: 1.5	Hit: undefined	Douoble: undefined	Split: undefined	WhattoDo: Stand 	ExpectedValue: 1.5	Time: 0.001
Dealer: 9	Player1st: A 	Player2nd: 9	Stand: 0.765635	Hit: 0.0965326	Double: 0.110516	Split: undefined	WhattoDo: Stand 	ExpectedValue: 0.765635	Time: 0.676
Dealer: 9	Player1st: A 	Player2nd: 8	Stand: 0.287946	Hit: 0.00501978	Double: -0.0602074	Split: undefined	WhattoDo: Stand 	ExpectedValue: 0.287946	Time: 1.151
Dealer: 9	Player1st: A 	Player2nd: 7	Stand: -0.178832	Hit: -0.0869575	Double: -0.254497	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.0869575	Time: 1.942
Dealer: 9	Player1st: A 	Player2nd: 6	Stand: -0.40707	Hit: -0.134674	Double: -0.345244	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.134674	Time: 3.433
Dealer: 9	Player1st: A 	Player2nd: 5	Stand: -0.525482	Hit: -0.166412	Double: -0.452038	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.166412	Time: 5.978
Dealer: 9	Player1st: A 	Player2nd: 4	Stand: -0.526348	Hit: -0.113295	Double: -0.421784	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.113295	Time: 11.523
Dealer: 9	Player1st: A 	Player2nd: 3	Stand: -0.526764	Hit: -0.0596601	Double: -0.393525	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.0596601	Time: 16.899
Dealer: 9	Player1st: A 	Player2nd: 2	Stand: -0.517198	Hit: -0.0137181	Double: -0.372682	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.0137181	Time: 26.375
Dealer: 9	Player1st: A 	Player2nd: A	Stand: -0.510996	Hit: -0.00248762	Double: -0.420608	Split: 1.04062	WhattoDo: Split 	ExpectedValue: 1.04062	Time: 421.16
Dealer: 8	Player1st: T 	Player2nd: T	Stand: 0.783251	Hit: -0.842727	Double: -1.68545	Split: 0.447471	WhattoDo: Stand 	ExpectedValue: 0.783251	Time: 15.818
Dealer: 8	Player1st: 9 	Player2nd: T	Stand: 0.576828	Hit: -0.697331	Double: -1.39466	Split: undefined	WhattoDo: Stand 	ExpectedValue: 0.576828	Time: 0.013
Dealer: 8	Player1st: 9 	Player2nd: 9	Stand: 0.0645179	Hit: -0.566265	Double: -1.13253	Split: 0.179373	WhattoDo: Split 	ExpectedValue: 0.179373	Time: 37.574
Dealer: 8	Player1st: 8 	Player2nd: T	Stand: 0.0955297	Hit: -0.565137	Double: -1.13027	Split: undefined	WhattoDo: Stand 	ExpectedValue: 0.0955297	Time: 0.02
Dealer: 8	Player1st: 8 	Player2nd: 9	Stand: -0.414899	Hit: -0.475296	Double: -0.950593	Split: undefined	WhattoDo: Stand 	ExpectedValue: -0.414899	Time: 0.035
Dealer: 8	Player1st: 8 	Player2nd: 8	Stand: -0.551276	Hit: -0.426315	Double: -0.85263	Split: -0.100087	WhattoDo: Split 	ExpectedValue: -0.100087	Time: 57.657
Dealer: 8	Player1st: 7 	Player2nd: T	Stand: -0.39424	Hit: -0.473803	Double: -0.947605	Split: undefined	WhattoDo: Stand 	ExpectedValue: -0.39424	Time: 0.035
Dealer: 8	Player1st: 7 	Player2nd: 9	Stand: -0.525806	Hit: -0.42779	Double: -0.855581	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.42779	Time: 0.059
Dealer: 8	Player1st: 7 	Player2nd: 8	Stand: -0.545308	Hit: -0.379554	Double: -0.777379	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.379554	Time: 0.107
Dealer: 8	Player1st: 7 	Player2nd: 7	Stand: -0.53934	Hit: -0.407893	Double: -0.857865	Split: -0.423471	WhattoDo: Hit   	ExpectedValue: -0.407893	Time: 96.79
Dealer: 8	Player1st: 6 	Player2nd: T	Stand: -0.527007	Hit: -0.424823	Double: -0.849645	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.424823	Time: 0.059
Dealer: 8	Player1st: 6 	Player2nd: 9	Stand: -0.523099	Hit: -0.420733	Double: -0.855589	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.420733	Time: 0.107
