Soft17Hit:false	Surrender:false	DoubleAfterSplit:false	
Win:1.000000	Tie:0.000000	Lose:-1.000000	BlackJack:1.500000	
A:4	2:4	3:4	4:4	5:4	6:4	7:4	8:4	9:4	T:16	
Player:7 8 	Dealer:3	Stand:-0.223854	Hit:0.0539485	Double:0.0485729	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.0539485
Player:7 8 	Dealer:2	Stand:-0.272058	Hit:0.0183639	Double:-0.0175432	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.0183639
Player:7 8 	Dealer:A	Stand:-0.755637	Hit:-0.456783	Double:-0.965959	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.456783
Player:7 7 	Dealer:T	Stand:-0.549761	Hit:-0.279188	Double:-0.682132	Split:-0.558376	WhattoDo:Hit   	ExpectedValue:-0.279188
Player:7 7 	Dealer:9	Stand:-0.555391	Hit:-0.204099	Double:-0.558232	Split:-0.408197	WhattoDo:Hit   	ExpectedValue:-0.204099
Player:7 7 	Dealer:8	Stand:-0.53934	Hit:-0.125428	Double:-0.424922	Split:-0.250855	WhattoDo:Hit   	ExpectedValue:-0.125428
Player:7 7 	Dealer:7	Stand:-0.501956	Hit:-0.098646	Double:-0.33766	Split:-0.197292	WhattoDo:Hit   	ExpectedValue:-0.098646
Player:7 7 	Dealer:6	Stand:-0.174225	Hit:0.0931645	Double:0.0588986	Split:0.186329	WhattoDo:Split 	ExpectedValue:0.186329
Player:7 7 	Dealer:5	Stand:-0.155509	Hit:0.0948193	Double:0.0697561	Split:0.189639	WhattoDo:Split 	ExpectedValue:0.189639
Player:7 7 	Dealer:4	Stand:-0.163937	Hit:0.0900465	Double:0.0638836	Split:0.180093	WhattoDo:Split 	ExpectedValue:0.180093
Player:7 7 	Dealer:3	Stand:-0.2194	Hit:0.0367449	Double:-0.0256785	Split:0.0734898	WhattoDo:Split 	ExpectedValue:0.0734898
Player:7 7 	Dealer:2	Stand:-0.268309	Hit:-0.00751142	Double:-0.10649	Split:-0.0150228	WhattoDo:Hit   	ExpectedValue:-0.00751142
Player:7 7 	Dealer:A	Stand:-0.751154	Hit:-0.490616	Double:-1.0777	Split:-0.981231	WhattoDo:Hit   	ExpectedValue:-0.490616
Player:6 T 	Dealer:T	Stand:-0.580262	Hit:-0.277545	Double:-0.581546	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.277545
Player:6 T 	Dealer:9	Stand:-0.539232	Hit:-0.190738	Double:-0.413516	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.190738
Player:6 T 	Dealer:8	Stand:-0.527007	Hit:-0.127467	Double:-0.292012	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.127467
Player:6 T 	Dealer:7	Stand:-0.483324	Hit:-0.0730398	Double:-0.14608	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0730398
Player:6 T 	Dealer:6	Stand:-0.179023	Hit:0.093562	Double:0.161773	Split:undefined	WhattoDo:Double	ExpectedValue:0.161773
Player:6 T 	Dealer:5	Stand:-0.141194	Hit:0.0898134	Double:0.148254	Split:undefined	WhattoDo:Double	ExpectedValue:0.148254
